"department","salary_grade","ticket_res_time_hours","survey_number_of_questions","survey_response_scale","responded_to_survey"
"B","grade 3",3.21,"3 questions","likert",TRUE
"B","grade 2",23.35,"3 questions","likert",TRUE
"C","grade 3",32.98,"1 question","binary",TRUE
"B","grade 3",1.14,"1 question","binary",FALSE
"A","grade 3",42.21,"3 questions","binary",FALSE
"A","grade 3",16.2,"3 questions","likert",FALSE
"A","grade 3",64.96,"1 question","binary",TRUE
"B","grade 2",1.52,"3 questions","likert",TRUE
"B","grade 2",48.45,"5 questions","likert",FALSE
"C","grade 3",17.18,"3 questions","binary",TRUE
"A","grade 3",71.57,"5 questions","binary",FALSE
"B","grade 3",0.84,"3 questions","binary",FALSE
"A","grade 3",3.52,"1 question","likert",FALSE
"B","grade 3",0.63,"1 question","binary",TRUE
"A","grade 3",4.9,"5 questions","likert",FALSE
"C","grade 2",8.42,"3 questions","likert",FALSE
"C","grade 1",13.73,"3 questions","binary",TRUE
"C","grade 2",0.95,"1 question","binary",TRUE
"B","grade 3",44.62,"3 questions","likert",TRUE
"C","grade 2",15.39,"3 questions","likert",FALSE
"B","grade 1",71.42,"5 questions","binary",TRUE
"B","grade 2",15.64,"1 question","binary",TRUE
"C","grade 3",3.7,"5 questions","binary",FALSE
"C","grade 3",1.83,"3 questions","binary",FALSE
"C","grade 3",21.84,"5 questions","likert",FALSE
"C","grade 2",0.57,"5 questions","binary",FALSE
"B","grade 3",12.07,"1 question","binary",TRUE
"A","grade 3",17.3,"3 questions","binary",FALSE
"C","grade 3",73.32,"1 question","binary",FALSE
"B","grade 1",60.27,"3 questions","likert",TRUE
"C","grade 3",87.42,"3 questions","binary",FALSE
"B","grade 2",13.58,"3 questions","likert",TRUE
"C","grade 3",55.54,"5 questions","likert",TRUE
"C","grade 2",47.82,"3 questions","likert",TRUE
"A","grade 3",5.28,"1 question","likert",FALSE
"C","grade 3",14.64,"3 questions","likert",FALSE
"C","grade 3",1.02,"5 questions","binary",FALSE
"C","grade 3",10.98,"5 questions","likert",TRUE
"A","grade 3",17.2,"3 questions","binary",FALSE
"B","grade 3",19.05,"1 question","binary",TRUE
"B","grade 3",1.61,"1 question","likert",FALSE
"C","grade 3",20.83,"3 questions","likert",FALSE
"A","grade 3",30.72,"1 question","binary",TRUE
"B","grade 3",13.96,"1 question","binary",TRUE
"B","grade 3",38.89,"1 question","binary",FALSE
"B","grade 2",18.93,"1 question","likert",TRUE
"B","grade 3",2.75,"3 questions","likert",TRUE
"C","grade 3",16.42,"3 questions","likert",TRUE
"C","grade 3",2.38,"1 question","binary",FALSE
"B","grade 2",5.54,"1 question","likert",TRUE
"A","grade 3",21.2,"5 questions","likert",FALSE
"A","grade 3",65.52,"5 questions","likert",FALSE
